,Train_Loss,Valid_Loss
1,62.466101641301066,1.231982892146334
2,26.465701091568917,0.8730827905237675
3,27.6436114651151,0.8192584318458103
4,26.86950658238493,0.8055389533983544
5,25.567141990177333,0.8248527881223708
6,26.317327853757888,0.8327644480741583
7,25.25960932089947,0.8189575981814414
8,26.114261506590992,0.8292842960800044
9,26.145498321857303,0.8406675908481702
10,26.144473782740533,0.8642005775473081
11,25.86835147952661,0.8783935668761842
12,27.151291117770597,0.8575583822093904
13,25.07644230220467,0.8453828912461177
14,26.517667145933956,0.8519133530789986
15,25.91730958619155,0.8551414238172583
16,25.547619676217437,0.8468287794385105
17,25.843562020687386,0.8581806282745674
18,25.529674107208848,0.8638442804804072
19,25.502271000295877,0.8498734983149916
20,24.81711168237962,0.8630348739097826
21,24.956406492274255,0.8693894881289452
22,24.516559549607337,0.855056211410556
23,25.435753172263503,0.8682962083839811
24,24.801343442173675,0.8897194138844498
25,24.3307840913767,0.8464400945231318
26,25.977009725291282,0.8603422624291852
27,25.205597877968103,0.8411291067604907
28,24.948542455676943,0.8740246327361092
29,25.182463669683784,0.8730897894711234
30,25.541068388614804,0.876124179456383
31,26.0004306177143,0.8637391470256262
32,25.419602290727198,0.8639070736244321
33,24.69999371562153,0.8652337909443304
34,24.6891181783285,0.9065166676882654
35,,
36,,
37,,
38,,
39,,
40,,
