,Train_Loss,Valid_Loss
1,76.65695662423968,
2,33.541174026206136,
3,18.374710735864937,
4,13.36478867661208,
5,11.740178302396089,
6,10.000980008859187,
7,9.557207385078073,
8,10.342326163779944,
9,9.401745492592454,
10,8.644294379046187,
11,8.475777685642242,
12,8.365914957365021,
13,9.603592611616477,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
